"X" "Y"
"1125" 750987 4430697
"1126" 752712 4430131
"1127" 753788 4430014
"1128" 752712 4430131
"1129" 752252 4429645
"1130" 751506 4430338
"1131" 752929 4429675
"1132" 753101 4431465
"1133" 752538 4429757
"1134" 753111 4431329
"1135" 753688 4430029
"1136" 753392 4429996
"1137" 753906 4431514
"1138" 753443 4430230
"1139" 752966 4430623
"1140" 753452 4431187
"1141" 751877 4429688
"1142" 754026 4431241
"1143" 753966 4431494
"1144" 751847 4429339
"1145" 751847 4429339
"1146" 751847 4429339
"1147" 751877 4429688
"1148" 752343 4430061
"1149" 752455 4430541
"1150" 752455 4430541
"1151" 752157 4430006
"1152" 753942 4430223
"1153" 753795 4431189
"1154" 752157 4430006
"1155" 753332 4431106
"1156" 753332 4431106
"1157" 752205 4430699
"1158" 753332 4431106
"1159" 752775 4429979
"1160" 752976 4431659
"1161" 753645 4429897
"1162" 752867 4430230
"1163" 753254 4430456
"1164" 752375 4429337
"1165" 752909 4430840
"1166" 753645 4429897
"1167" 752857 4430037
"1168" 753272 4431489
"1169" 753020 4430601
"1170" 752665 4432017
"1171" 753272 4431489
"1172" 752765 4430606
"1173" 753282 4431512
"1174" 752765 4430606
"1175" 753513 4431003
"1176" 752857 4430037
"1177" 753524 4429984
"1178" 752032 4429076
"1179" 752635 4430033
"1180" 752043 4430948
"1181" 753316 4429994
"1182" 752540 4430380
"1183" 752562 4429887
"1184" 752941 4430786
"1185" 753392 4429996
"1186" 752756 4431099
"1187" 752645 4429640
"1188" 753064 4430883
"1189" 751930 4429248
"1190" 753064 4430883
"1191" 753786 4430813
"1192" 753760 4430198
"1193" 753000 4430478
"1194" 750860 4431238
"1195" 750860 4431238
"1196" 752252 4429645
"1197" 753852 4430119
"1198" 752674 4430826
"1199" 753615 4431253
"1200" 753153 4430101
"1201" 752363 4429934
"1202" 752252 4429645
"1203" 753721 4430131
"1204" 752420 4429933
"1205" 752420 4429933
"1206" 752574 4429505
"1207" 752141 4430038
"1208" 753337 4429722
"1209" 753253 4430828
"1210" 754028 4431212
"1211" 753750 4430166
"1212" 751922 4430953
"1213" 751922 4430953
"1214" 752350 4429962
"1215" 752384 4430473
"1216" 752384 4430473
"1217" 753643 4430456
"1218" 752157 4429458
"1219" 753716 4430545
"1220" 753401 4430593
"1221" 754154 4430787
"1222" 752925 4431431
"1223" 753643 4430456
"1224" 753716 4430545
"1225" 752369 4429955
"1226" 752369 4429955
"1227" 752817 4430559
"1228" 753219 4430714
"1229" 753829 4430255
"1230" 753219 4430714
"1231" 752951 4430212
"1232" 753295 4429758
"1233" 752191 4429781
"1234" 751803 4430848
"1235" 753443 4430872
"1236" 752776 4431023
"1237" 753295 4429758
"1238" 752733 4431926
"1239" 751153 4430658
"1240" 752319 4430585
"1241" 752350 4429962
"1242" 752443 4432007
"1243" 753102 4430908
"1244" 752845 4429988
"1245" 753016 4430001
