"cx" "cy"
"786" 752653.3308 4430199.196
"787" 752655.1444 4431095.117
"788" 752657.0405 4431935.749
"789" 752658.3601 4431384.959
"790" 752659.0196 4431698.596
"791" 752660.5863 4431703.895
"792" 752660.752 4430242.487
"793" 752661.3284 4431706.095
"794" 752661.4122 4429348.566
"795" 752661.9062 4430699.096
"796" 752662.0706 4431704.895
"797" 752662.4009 4430867.062
"798" 752665.7817 4430772.181
"799" 752665.7821 4430072.821
"800" 752666.1114 4431071.821
"801" 752668.0906 4430776.281
"802" 752668.174 4428923.451
"803" 752668.9969 4431972.641
"804" 752669.3279 4429996.536
"805" 752670.0701 4429845.366
"806" 752670.1515 4431733.189
"807" 752671.7182 4431653.605
"808" 752675.6773 4429733.189
"809" 752676.7486 4431047.626
"810" 752677.0788 4430307.974
"811" 752678.5629 4430651.705
"812" 752680.3774 4429929.25
"813" 752682.3562 4430306.574
"814" 752683.9225 4431021.831
"815" 752684.5829 4429657.804
"816" 752685.9016 4430767.382
"817" 752687.3039 4429815.972
"818" 752687.4678 4431785.879
"819" 752687.7152 4431666.203
"820" 752687.7162 4429936.448
"821" 752688.375 4431450.346
"822" 752688.788 4430237.888
"823" 752689.3641 4432170.602
"824" 752691.0957 4432170.602
"825" 752691.591 4431286.279
"826" 752692.911 4430062.523
"827" 752692.9111 4429893.057
"828" 752693.4057 4430189.198
"829" 752693.5697 4431804.475
"830" 752693.9004 4430188.998
"831" 752694.0656 4429652.905
"832" 752694.3941 4432165.403
"833" 752694.8895 4430917.952
"834" 752695.6322 4429833.069
"835" 752696.0435 4431653.605
"836" 752696.8681 4431652.306
"837" 752697.1985 4430689.198
"838" 752697.3643 4429161.903
"839" 752697.7757 4430688.998
"840" 752701.8167 4429722.291
"841" 752702.2276 4432170.602
"842" 752702.3938 4429846.866
"843" 752705.1144 4430841.367
"844" 752705.6085 4432031.63
"845" 752705.6097 4429919.552
"846" 752705.7737 4431540.028
"847" 752706.8463 4430466.642
"848" 752707.9178 4431237.988
"849" 752709.2379 4429927.25
"850" 752709.8153 4429530.829
"851" 752710.8046 4429804.375
"852" 752711.1336 4431390.058
"853" 752711.7936 4430730.29
"854" 752714.3494 4431452.845
"855" 752717.3176 4432129.31
"856" 752719.6271 4430866.962
"857" 752721.6886 4430758.684
"858" 752723.8323 4431161.803
"859" 752724.0797 4431127.81
"860" 752725.0692 4431128.31
"861" 752726.636 4431075.721
"862" 752726.7191 4429835.068
"863" 752726.7191 4429967.542
"864" 752727.0479 4431750.686
"865" 752727.3784 4430536.528
"866" 752727.6255 4430969.242
"867" 752727.8729 4431050.626
"868" 752728.6154 4430293.977
"869" 752728.6154 4430294.177
"870" 752728.6982 4429711.093
"871" 752729.3568 4431653.605
"872" 752729.6876 4429971.341
"873" 752733.0677 4431162.303
"874" 752734.47 4430348.266
"875" 752734.8825 4429851.665
"876" 752734.9644 4430893.957
